municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 21:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 22:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-01 23:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 00:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 01:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 02:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 03:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 04:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 05:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 06:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 07:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 08:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499H;SP;Parque Tecnológico SJC (TESTES HIDRO VAISALA);-45,793503;-23,158054;2021-03-02 09:10:00.0;0,00;
